DateKey,Date,DayName,Day,WeekNumberOfYear,Month,Year,MonthShort
20200101,2020-01-01,Wednesday,1,1,1,2020,Jan
20200102,2020-01-02,Thursday,2,1,1,2020,Jan
20200103,2020-01-03,Friday,3,1,1,2020,Jan
20200104,2020-01-04,Saturday,4,1,1,2020,Jan
20200105,2020-01-05,Sunday,5,2,1,2020,Jan
20200106,2020-01-06,Monday,6,2,1,2020,Jan
20200107,2020-01-07,Tuesday,7,2,1,2020,Jan
20200108,2020-01-08,Wednesday,8,2,1,2020,Jan
20200109,2020-01-09,Thursday,9,2,1,2020,Jan
20200110,2020-01-10,Friday,10,2,1,2020,Jan
20200111,2020-01-11,Saturday,11,2,1,2020,Jan
20200112,2020-01-12,Sunday,12,3,1,2020,Jan
20200113,2020-01-13,Monday,13,3,1,2020,Jan
20200114,2020-01-14,Tuesday,14,3,1,2020,Jan
20200115,2020-01-15,Wednesday,15,3,1,2020,Jan
20200116,2020-01-16,Thursday,16,3,1,2020,Jan
20200117,2020-01-17,Friday,17,3,1,2020,Jan
20200118,2020-01-18,Saturday,18,3,1,2020,Jan
20200119,2020-01-19,Sunday,19,4,1,2020,Jan
20200120,2020-01-20,Monday,20,4,1,2020,Jan
20200121,2020-01-21,Tuesday,21,4,1,2020,Jan
20200122,2020-01-22,Wednesday,22,4,1,2020,Jan
20200123,2020-01-23,Thursday,23,4,1,2020,Jan
20200124,2020-01-24,Friday,24,4,1,2020,Jan
20200125,2020-01-25,Saturday,25,4,1,2020,Jan
20200126,2020-01-26,Sunday,26,5,1,2020,Jan
20200127,2020-01-27,Monday,27,5,1,2020,Jan
20200128,2020-01-28,Tuesday,28,5,1,2020,Jan
20200129,2020-01-29,Wednesday,29,5,1,2020,Jan
20200130,2020-01-30,Thursday,30,5,1,2020,Jan
20200131,2020-01-31,Friday,31,5,1,2020,Jan
20200201,2020-02-01,Saturday,1,5,2,2020,Feb
20200202,2020-02-02,Sunday,2,6,2,2020,Feb
20200203,2020-02-03,Monday,3,6,2,2020,Feb
20200204,2020-02-04,Tuesday,4,6,2,2020,Feb
20200205,2020-02-05,Wednesday,5,6,2,2020,Feb
20200206,2020-02-06,Thursday,6,6,2,2020,Feb
20200207,2020-02-07,Friday,7,6,2,2020,Feb
20200208,2020-02-08,Saturday,8,6,2,2020,Feb
20200209,2020-02-09,Sunday,9,7,2,2020,Feb
20200210,2020-02-10,Monday,10,7,2,2020,Feb
20200211,2020-02-11,Tuesday,11,7,2,2020,Feb
20200212,2020-02-12,Wednesday,12,7,2,2020,Feb
20200213,2020-02-13,Thursday,13,7,2,2020,Feb
20200214,2020-02-14,Friday,14,7,2,2020,Feb
20200215,2020-02-15,Saturday,15,7,2,2020,Feb
20200216,2020-02-16,Sunday,16,8,2,2020,Feb
20200217,2020-02-17,Monday,17,8,2,2020,Feb
20200218,2020-02-18,Tuesday,18,8,2,2020,Feb
20200219,2020-02-19,Wednesday,19,8,2,2020,Feb
20200220,2020-02-20,Thursday,20,8,2,2020,Feb
20200221,2020-02-21,Friday,21,8,2,2020,Feb
20200222,2020-02-22,Saturday,22,8,2,2020,Feb
20200223,2020-02-23,Sunday,23,9,2,2020,Feb
20200224,2020-02-24,Monday,24,9,2,2020,Feb
20200225,2020-02-25,Tuesday,25,9,2,2020,Feb
20200226,2020-02-26,Wednesday,26,9,2,2020,Feb
20200227,2020-02-27,Thursday,27,9,2,2020,Feb
20200228,2020-02-28,Friday,28,9,2,2020,Feb
20200229,2020-02-29,Saturday,29,9,2,2020,Feb
20200301,2020-03-01,Sunday,1,10,3,2020,Mar
20200302,2020-03-02,Monday,2,10,3,2020,Mar
20200303,2020-03-03,Tuesday,3,10,3,2020,Mar
20200304,2020-03-04,Wednesday,4,10,3,2020,Mar
20200305,2020-03-05,Thursday,5,10,3,2020,Mar
20200306,2020-03-06,Friday,6,10,3,2020,Mar
20200307,2020-03-07,Saturday,7,10,3,2020,Mar
20200308,2020-03-08,Sunday,8,11,3,2020,Mar
20200309,2020-03-09,Monday,9,11,3,2020,Mar
20200310,2020-03-10,Tuesday,10,11,3,2020,Mar
20200311,2020-03-11,Wednesday,11,11,3,2020,Mar
20200312,2020-03-12,Thursday,12,11,3,2020,Mar
20200313,2020-03-13,Friday,13,11,3,2020,Mar
20200314,2020-03-14,Saturday,14,11,3,2020,Mar
20200315,2020-03-15,Sunday,15,12,3,2020,Mar
20200316,2020-03-16,Monday,16,12,3,2020,Mar
20200317,2020-03-17,Tuesday,17,12,3,2020,Mar
20200318,2020-03-18,Wednesday,18,12,3,2020,Mar
